,긍정단어,실제 소비자평(긍정),긍정단어 수,부정단어,실제 소비자평(부정),부정단어 수
794,튀어,-1,21,모든,0,2
795,스키,0,21,모델샷,0,2
796,정돈,0,21,머진,0,2
797,추강,0,21,시발,-1,2
798,남색,0,21,남자친구,0,2
799,내기,0,21,몇개,0,2
800,빳빳해,0,21,남색,0,2
801,다해,0,21,초여름,0,2
802,서나,0,21,시기,0,2
803,고고,1,21,시장,0,2
804,서든,0,21,슬림해,1,2
805,로고,0,21,우먼즈,0,2
806,요강,0,21,처럼,0,2
807,기전,0,20,스포츠,0,2
808,비굿,1,20,위부,0,2
809,마침,0,20,무시,0,2
810,평생,1,20,만족감,1,2
811,여친,0,20,시험,0,2
812,만하,0,20,만족도,1,2
813,줄줄,-1,20,건조,0,2
814,아마,0,20,힙부분,0,2
815,진리,1,20,용한,0,2
816,거사,0,20,슬림,1,2
817,어보,0,20,천도,0,2
818,오오,1,20,천원,0,2
819,진짜진짜,1,20,웨어,0,2
820,이벤트,0,20,맘에듭니,1,2
821,매년,1,20,바시아,0,2
822,리얼,0,20,리좀,0,2
823,재고,0,20,바지라,0,2
824,좋아욤,1,20,실밥,-1,2
825,입습,0,20,오염,-1,2
826,카페,0,19,신체,0,2
827,요한,0,19,바지핏,0,2
828,베이지색,0,19,레깅스,0,2
829,실수,-1,19,레귤러핏,0,2
830,요하,0,19,나이,0,2
831,단계,0,19,배출,0,2
832,덮어서,0,19,나은,0,2
833,안보,0,19,레귤러,0,2
834,아보,0,19,공개,0,2
835,오래오래,1,19,오금,0,2
836,산다,0,19,뱃살,0,2
837,셋트,0,19,옛날,0,2
838,저녁,0,19,나왓어,0,2
839,미리,0,19,랙스,0,2
840,휘뚤마뚤,1,19,고용,0,2
841,편안,1,19,가도,0,2
842,준비,0,19,번만,0,2
843,상세,0,19,라마,0,2
844,헤지,0,19,괜찬아,1,2
845,한파,0,19,이도,0,2
846,감촉,0,19,지난번,0,2
847,어유,0,19,영수증,0,2
848,대부분,0,19,크림,0,2
849,시험,0,19,변경,0,2
850,대서,0,19,연출,0,2
851,흐물흐물,0,19,변형,0,2
852,레이어,0,19,지고,0,2
853,한철,0,18,펄럭,0,2
854,관리,0,18,심지어,0,2
855,완료,0,18,의류,0,2
856,내년,0,18,나이스,1,2
857,짱짱맨,1,18,한편,0,2
858,핏더,0,18,계획,0,2
859,프리,0,18,신어,0,2
860,더욱,0,18,반쪽,0,2
861,스웻셋업,0,18,와우,1,2
862,매장,0,18,고객,0,2
863,속옷,0,18,응대,0,2
864,발견,0,18,발달,0,2
865,리츠,0,18,오히려,0,2
866,하리,0,18,루즈핏,0,2
867,가족,0,18,발생,0,2
868,의류,0,18,반바지,0,2
869,상상,0,18,발송,0,2
870,피시방,0,18,스카이,0,2
871,도딱,0,18,계정,0,2
872,스티,0,18,리나,0,2
873,대용,0,18,바진,0,2
874,사스,0,18,쫀쫀,1,2
875,금액,0,18,픽업,0,2
876,인터넷,0,18,완료,0,2
877,롱패딩,0,18,완성,0,2
878,움직,0,18,거기,0,2
879,주말,0,18,있을듷,0,1
880,다기,0,18,입울둣,0,1
881,렉스,0,17,한장,0,1
882,결정,0,17,입기죻음,1,1
883,헬스장,0,17,하자,-1,1
884,심해,-1,17,하제,0,1
885,건데,0,17,일부,0,1
886,네마,0,17,한시,0,1
887,살집,0,17,학교,0,1
888,출시,0,17,입읈생각,0,1
889,마찬가지,0,17,한계,0,1
890,시무,0,17,하호,0,1
891,종일,0,17,한지,0,1
892,쵝오,1,17,하안,0,1
893,초가을,0,17,한복,0,1
894,탁시,0,17,한사,0,1
895,니드,0,17,임밑단,0,1
896,유지,0,17,일어나고,0,1
897,동일,0,17,일수,0,1
898,무릅,0,17,한참,0,1
899,스포츠,0,17,임빨좀,0,1
900,성능,0,17,잇엇네,0,1
901,캠핑,0,17,입얼,0,1
902,된거,0,17,하의,0,1
903,센티,0,17,하타,0,1
904,쇼핑,0,17,있늗데,0,1
905,이제야,1,17,일해,0,1
906,조심,-1,17,한치,0,1
907,강아지,0,17,입엇어,0,1
908,당장,0,16,있습니돠,0,1
909,완성,0,16,한몫,0,1
910,만날,0,16,한마디,0,1
911,은감,0,16,하이,0,1
912,신랑,0,16,임옷,0,1
913,헤헤,1,16,초등학교,0,1
914,가타,0,16,한해,0,1
915,적립금,0,16,후디,0,1
916,햇습니,0,16,흐늘거리,-1,1
917,핏되,0,16,흐규,0,1
918,만족감,1,16,은듯,0,1
919,이쁜핏,1,16,을해,0,1
920,사라,0,16,훕하훕하흫하핳흐,0,1
921,형태,0,16,음식,0,1
922,아우,0,16,음으로,0,1
923,근본,1,16,훕하훕,0,1
924,쓰기,0,16,응데,0,1
925,오금,0,16,의도,0,1
926,맘에듬,1,16,후레,0,1
927,최적,1,16,후뚜루,1,1
928,집안,0,16,후다닥,0,1
929,더위,0,16,할드슈,0,1
930,지고,0,16,의문,-1,1
931,브라운,0,16,의미,0,1
932,다사,1,16,횟수,0,1
933,기회,1,16,회사,0,1
934,감수,-1,16,환자복,-1,1
935,여태,0,16,의자,0,1
936,남지,0,15,환경,0,1
937,파업,-1,15,의존,0,1
938,한가지,0,15,확쭐었습니,-1,1
939,도해,0,15,이글,0,1
940,계획,0,15,이돈,0,1
941,내의,0,15,이듭,0,1
942,멀리,0,15,흐릿,0,1
943,하규,0,15,유투,0,1
944,레전드,1,15,유점,0,1
945,웨스트,0,15,유의,-1,1
946,무탠다,0,15,힙합,0,1
947,얼마,0,15,힙함,1,1
948,잘만,1,15,원초,0,1
949,보완,-1,15,원칙,0,1
950,한장,0,15,원한,0,1
951,하진,0,15,월달,0,1
952,오지,0,15,힙하,1,1
953,결과,0,15,월씬,0,1
954,슬림해,1,15,월요일,0,1
955,불편,-1,15,히트,1,1
956,부자,0,15,히든,0,1
957,삿다,0,15,흡사,0,1
958,설명,0,15,흔적,-1,1
959,블프,0,15,위쪽,0,1
960,자기,0,15,위치,0,1
961,요정,0,15,위해,0,1
962,스탈,0,15,흑시,0,1
963,통해,0,15,흐믈거리,-1,1
964,통풍,0,15,흐물거림,-1,1
965,선선,1,15,유념,-1,1
966,같아욤,0,15,유니,0,1
967,애착,1,15,유니섹스,0,1
968,단면,0,15,흐물거려,-1,1
969,작업,0,15,유명,0,1
970,살수,0,15,유아인,0,1
971,도로,0,14,화색,0,1
972,키크,0,14,이럿,0,1
973,중반,0,14,이름,0,1
974,사두,0,14,이키,0,1
975,요약,0,14,허름,-1,1
976,연한,0,14,이프,1,1
977,완젼,1,14,이픕니,1,1
978,번은,0,14,행사,0,1
979,가입,0,14,이해,0,1
980,변형도,0,14,햇던,0,1
981,아아,0,14,익숙,0,1
982,하늘색,0,14,인기,1,1
983,맛집,0,14,인대,0,1
984,대체로,1,14,인뎅,0,1
985,이틀,0,14,햇눈데,0,1
986,바람막이,0,14,인부,0,1
987,평상복,1,14,인쇼,0,1
988,일부,-1,14,인정,1,1
989,세영,0,14,핸드폰,0,1
990,저희,0,14,해줫는데,0,1
991,매도,0,14,인척,0,1
992,다스,0,14,해오,0,1
993,촤르르,0,14,해슬깡,0,1
994,히트텍,0,14,핮니,0,1
995,소화,0,14,항의,-1,1
996,복장,0,14,일도,0,1
997,갑인,1,14,함축,0,1
998,프로,0,14,할하,0,1
999,퀼리티,0,14,일로,0,1
1000,지장,0,14,가끔,0,1
1001,중학생,0,14,허리띠,0,1
1002,젛습니,1,14,홈트용,0,1
1003,삿습니,0,14,이지,0,1
1004,댕겨,0,14,이마트,0,1
1005,에이,0,14,홈웨어,0,1
1006,코트,0,14,홀렁해,-1,1
1007,제법,1,14,이미지,0,1
1008,어울림,1,14,호리,0,1
1009,코튼,0,14,이바지,0,1
1010,마르고,0,14,현재,0,1
1011,업도,0,13,이뻐욤,1,1
1012,반신반의,1,13,헤트,0,1
1013,고사,-1,13,이뻣을텐데,-1,1
1014,나무,0,13,이쁜핏,1,1
1015,다다,0,13,헤질,-1,1
1016,스니커즈,0,13,험멜,0,1
1017,옷장,0,13,이상하,-1,1
1018,후디,0,13,헐렁거리,-1,1
1019,따땃,1,13,이심,0,1
1020,사주,0,13,헐렁거려,-1,1
1021,직접,0,13,이안,0,1
1022,헤져,0,13,이염,0,1
1023,청소,0,13,이왕밴딩,0,1
1024,줄어듬,-1,13,이외,0,1
1025,칭찬,0,13,헐랭,-1,1
1026,쪼매,-1,13,이전,0,1
1027,키로,0,13,허버,0,1
1028,혜자,1,13,이중,0,1
1029,안타,0,13,이예,0,1
1030,리용,0,13,폇습니다딱,0,1
1031,댕기,0,13,자네,0,1
1032,대한,0,13,콜라보,0,1
1033,계열,0,13,크리미,0,1
1034,유의,0,13,크루,0,1
1035,거도,0,13,크롭티,0,1
1036,유틸리티,0,13,지역,0,1
1037,베스트,1,13,크럼,0,1
1038,이크,0,13,지오다노,0,1
1039,특유,0,13,지옥,-1,1
1040,구비,0,13,지점,0,1
1041,트렌디,1,13,지지,0,1
1042,픽업,0,13,직사각형,0,1
1043,벨벳,0,13,직원,0,1
1044,정착,1,13,콜렉터,0,1
1045,또살,1,13,직접,0,1
1046,이색,0,13,직후,0,1
1047,블루,0,13,가량,0,1
1048,추후,0,13,자동,0,1
1049,산지,0,12,진짲,0,1
1050,부터,0,12,진창,0,1
1051,여주,0,12,진행,0,1
1052,대도,0,12,코끼리,0,1
1053,기능,0,12,컷으,0,1
1054,무툭,0,12,질질,-1,1
1055,심지어,0,12,집사람,0,1
1056,예쁜핏,1,12,컷뜸,0,1
1057,꾸안꾸룩,1,12,집앞용,0,1
1058,덩치,0,12,집애,0,1
1059,노랑,0,12,집업,0,1
1060,구성은,0,12,짜임새,0,1
1061,래서,0,12,짜증,-1,1
1062,더니,0,12,컴퓨터,0,1
1063,도크,0,12,지난,0,1
1064,흐물,0,12,지기,0,1
1065,움직임,0,12,클렆,0,1
1066,건조,0,12,클립,0,1
1067,부스럭,-1,12,테이,0,1
1068,이드,0,12,주의,-1,1
1069,다색,0,12,테니스,0,1
1070,평가,0,12,주일,0,1
1071,야외,0,12,택확,0,1
1072,애초,0,12,태리핏슬랙스,0,1
1073,환불,-1,12,태도,0,1
1074,우리,0,12,준비,0,1
1075,남고,0,12,줄어듬,-1,1
1076,평균,0,12,줄엇어,-1,1
1077,중딩,0,12,태견,0,1
1078,감동,1,12,탈수,0,1
1079,요조,0,12,탄성,0,1
1080,내용,0,12,중고,0,1
1081,구해,0,12,중고나라,0,1
1082,유니크,1,12,중량,0,1
1083,매하,0,12,중시,0,1
1084,신사,0,12,중요,0,1
1085,구가,0,12,탁시,0,1
1086,유니,0,12,타임세일,0,1
1087,지리,0,12,타가,0,1
1088,회츄,0,12,줫습니,0,1
1089,어제,0,12,킬로,0,1
1090,몸매,0,12,줭말,0,1
1091,아침,0,12,쥐색,0,1
1092,효과,0,12,쥬얼,0,1
1093,펑퍼짐,-1,12,증말,0,1
1094,찰랑,0,12,키라,0,1
1095,가야,0,12,지경,-1,1
1096,나은,0,12,짝짝,0,1
1097,달리,0,12,컨텐츠,0,1
1098,편임,0,12,커요핏,0,1
1099,말라보,1,12,충분,0,1
1100,가작,0,12,찬양,1,1
1101,마르,0,12,찰떡,1,1
1102,힛탠,0,12,출발,,1
1103,사이드,0,12,축하,,1
1104,시작,0,12,가래,,1
1105,거려,0,11,추위,,1
1106,쫀쫀했으,1,11,창고,,1
1107,얼추,0,11,추움,,1
1108,입자,0,11,찾기,,1
1109,초봄,0,11,책암,,1
1110,행사,0,11,챠르륵,,1
1111,드림,0,11,추가,,1
1112,가로,0,11,최저,,1
1113,코로나,0,11,가랭,,1
1114,발끝,0,11,천은,,1
1115,방수,0,11,첨부,,1
1116,바램,0,11,첫날,,1
1117,시한,0,11,최소,,1
1118,간지,1,11,최근,,1
1119,슬리퍼,0,11,최강,,1
1120,포스,1,11,청색,,1
1121,통과,1,11,청소,,1
1122,래미,0,11,촣아어,,1
1123,여야,0,11,체적,,1
1124,더삼,0,11,총기,,1
1125,따땃하,1,11,체중,,1
1126,핏이뻐,1,11,초조,,1
1127,포기,0,11,쳔하,,1
1128,여서,0,11,초가을,,1
1129,신청,0,11,충만,,1
1130,패딩,0,11,츄리,,1
1131,그때,0,11,짤롱,,1
1132,무방,0,11,착샷,,1
1133,부들,1,11,쩔어요,,1
1134,순간,0,11,가동,,1
1135,만듬새,0,11,커보였느데,,1
1136,요전,0,11,쪼아,,1
1137,대체,0,11,쪼오꿈,,1
1138,자켓,0,11,쫀쫀함,,1
1139,키키,1,11,쫀쫀했으,,1
1140,삿더,0,11,커뮤니티,,1
1141,맨발,0,11,쫄깃,,1
1142,꿈치,0,11,쫄라매,,1
1143,고딩,0,11,커녕,,1
1144,학년,0,11,캡쳐,,1
1145,단지,0,11,쫌그,,1
1146,타입,0,11,캠핑,,1
1147,소장,0,11,쫌더,,1
1148,비올,0,11,쫌더돈,,1
1149,학생,0,11,쭈구리,,1
1150,도도,1,11,쭈굴쭈굴해,,1
1151,기기,1,11,쭈글,,1
1152,홍대,0,11,쭈글거려,,1
1153,스파,0,11,쭈리원단,,1
1154,거기,0,11,치킨,,1
1155,용인,0,11,차랋리,,1
1156,배기,0,11,차림,,1
1157,라서,0,11,차요,,1
1158,확정,1,11,치성,,1
1159,중임,0,11,치명,,1
1160,나기,0,11,치노,,1
1161,배꼽,0,11,측정,,1
1162,기신,0,11,주어,,1
1163,사드,0,11,테일로,,1
1164,다이어트,0,11,주심,,1
1165,알림,0,11,재고,,1
1166,조항,1,11,풀이,,1
1167,반면,0,10,재주,,1
1168,아쥬,0,10,풀림,,1
1169,안길,0,10,풀기,,1
1170,기용,0,10,쟈쥬,,1
1171,니트,0,10,표시,,1
1172,얼룩,-1,10,저격,,1
1173,핏예뻐,1,10,저로선핏,,1
1174,유튜브,0,10,포켓,,1
1175,색인,0,10,저하,,1
1176,이득,1,10,적기,,1
1177,빡빡,-1,10,포장,,1
1178,통큰,0,10,적도,,1
1179,핏예쁘,1,10,적립금,,1
1180,이미지,0,10,적임,,1
1181,알라딘,0,10,평범,,1
1182,이해,0,10,전면,,1
1183,군데,0,10,초봄,,1
1184,츄리,0,10,전문,,1
1185,포켓,0,10,가능성,,1
1186,급니,0,10,편안함,,1
1187,실룩,0,10,편두,,1
1188,눈데,0,10,전이,,1
1189,폴리,0,10,펜츠입니,,1
1190,누가,0,10,페이지,,1
1191,대해,0,10,펑펑,,1
1192,인대,0,10,펏뻣,,1
1193,무조,1,10,전형,,1
1194,개선,-1,10,전환,,1
1195,우먼즈,0,10,품목,,1
1196,스웨트,0,10,플래티넘,,1
1197,여요,0,10,절대로,,1
1198,라운드,0,10,플랫,,1
1199,여지,0,10,자리,,1
1200,핏해,0,10,하라,,1
1201,삿습,0,10,하단,,1
1202,도입,0,10,하니,,1
1203,스판끼,0,10,하나쥴,,1
1204,하단,0,10,자제,,1
1205,한적,0,10,핏함두,,1
1206,최대로,0,10,자칫,,1
1207,시리즈,0,10,핏좋으,,1
1208,감당,0,10,핏좋,,1
1209,조커,0,10,작성,,1
1210,날뻔,-1,10,핏입니,,1
1211,예뿌,0,10,핏이달,,1
1212,자신,0,10,핏보,,1
1213,버젼,0,10,핏들,,1
1214,탄력,0,10,잠시,,1
1215,옛날,0,10,피팅모델,,1
1216,만요,0,10,잡기,,1
1217,세탁소,0,10,잡지,,1
1218,힙해,1,10,장기,,1
1219,힙합,0,10,피팅,,1
1220,여름철,0,10,장력,,1
1221,백수,-1,10,장만,,1
1222,허리춤,0,10,피트,,1
1223,일상생활,1,10,피지,,1
1224,너비,0,10,피부,,1
1225,너므,1,10,장창,,1
1226,숏패딩,0,10,장터,,1
1227,리나,0,10,잧으시,,1
1228,나니,0,10,퍼티,,1
1229,에어포스,0,10,절반,,1
1230,외로,0,10,주사,,1
1231,햇던,0,10,조거핏,,1
1232,뭐해,0,10,특징,,1
1233,지게,0,10,트레,,1
1234,물이,0,10,트라고,,1
1235,믹스,0,10,조깅,,1
1236,옷핏,0,10,조사,,1
1237,상대,0,10,조아영,,1
1238,표기,0,9,튀어,,1
1239,로만,0,9,퉁퉁,,1
1240,가나,0,9,투자,,1
1241,개월,0,9,조음,,1
1242,소문,0,9,투시,,1
1243,투엑스,0,9,조인,,1
1244,보장,0,9,조일,,1
1245,컨버스,0,9,조짐,,1
1246,팬트,0,9,존나,,1
1247,그닥,-1,9,투리,,1
1248,작성,0,9,존눼,,1
1249,피하,0,9,존쪽,,1
1250,이외,0,9,통통,,1
1251,볼때,0,9,종류,,1
1252,자국,-1,9,통큰,,1
1253,스텐다드,0,9,통짜,,1
1254,스트,0,9,통일,,1
1255,보람,0,9,종일,,1
1256,체중,0,9,좋으넹,,1
1257,분위기,0,9,통보,,1
1258,트렌드,0,9,통도돟구,,1
1259,굿굿굿,1,9,가로,,1
1260,늦봄,0,9,토방,,1
1261,리기,0,9,티나,,1
1262,몇장,0,9,파란,,1
1263,다그,0,9,퍼드,,1
1264,일어나지,0,9,팔고,,1
1265,무진장,0,9,점도,,1
1266,시오,0,9,접힌,,1
1267,보라,0,9,팮츄,,1
1268,시보,0,9,가세,,1
1269,딸램,0,9,가다가,,1
1270,부하,0,9,팩트,,1
1271,일정,0,9,정색,,1
1272,트답,0,9,정석,,1
1273,인쇼,0,9,정이,,1
1274,초등학생,0,9,정지,,1
1275,롤업,0,9,정치,,1
1276,초이스,0,9,정핏느낌,,1
1277,총기,0,9,정핏임,,1
1278,천은,0,9,정핏입니,,1
1279,다용,0,9,젛네,,1
1280,평범,0,9,젛을듯,,1
1281,나가요,0,9,제각각,,1
1282,나이,0,9,패스,,1
1283,랍니,0,9,제거,,1
1284,양호,1,9,패셔너블,,1
1285,건가,0,9,패딩,,1
1286,어도,0,9,제보,,1
1287,증말,0,9,제외,,1
1288,같슴다,0,9,팝업,,1
1289,때매,0,9,제작,,1
1290,중량,0,9,가사,,1
1291,목적,0,9,제품샷,,1
1292,범용,1,9,팔아줬르,,1
1293,배드,0,9,져지,,1
1294,제작,0,9,원주고,,1
1295,직전,0,9,시멘트,,1
1296,사이트,0,9,원닪읂,,1
1297,구멍,-1,9,드꺼움,,1
1298,무신,0,9,디자이너,,1
1299,살바,-1,9,디봄,,1
1300,오염,-1,9,디도,,1
1301,구오,,9,등록,,1
1302,에어컨,,9,등급,,1
1303,위치,,9,들것,,1
1304,괜차나,,9,드림,,1
1305,조건,,9,드네영,,1
1306,밴딩부분,,9,듔껎,,1
1307,낙넉,,9,따땃할,,1
1308,연습,,9,뒷쪽,,1
1309,사제품,,9,뒤통수,,1
1310,주기,,9,뒤쪽,,1
1311,호불호,,9,뒤꿈치,,1
1312,핏좋아,,9,둘째,,1
1313,말로,,9,둘레,,1
1314,완죤,,9,두툼함,,1
1315,무거,,9,같슴다,,1
1316,좋슴니,,9,디테일,,1
1317,안사면,,9,따숩습니,,1
1318,이보,,9,두꺼웡,,1
1319,요건,,9,랑중,,1
1320,만약,,9,로고,,1
1321,비치,,9,려해,,1
1322,노멀,,9,려고,,1
1323,만능,,9,레귤러핏입니,,1
1324,리즈,,9,렁거려,,1
1325,텐션,,9,런처,,1
1326,조깅,,9,러닝,,1
1327,합격,,9,래서,,1
1328,감탄,,9,뚱뚱이들,,1
1329,애정,,9,땀좀,,1
1330,한치,,8,뚱뚱,,1
1331,조카,,8,뚤려있네,,1
1332,괜츈,,8,똥내,,1
1333,원한,,8,똥꾸,,1
1334,남여,,8,똥꼬,,1
1335,다자,,8,떳으,,1
1336,로우,,8,땨문,,1
1337,준수,,8,때똥,,1
1338,남녀,,8,두꺼윦데,,1
1339,흐흐,,8,돼지,,1
1340,여행,,8,웂어,,1
1341,민중,,8,대가,,1
1342,스트랩,,8,댕겨,,1
1343,도톰,,8,댓글,,1
1344,믿음,,8,댄서,,1
1345,역대,,8,대피,,1
1346,우븐,,8,대표,,1
1347,대학생,,8,대안,,1
1348,스토어,,8,대세,,1
1349,배부,,8,대서,,1
1350,오프라인,,8,당제,,1
1351,요면,,8,더크,,1
1352,사본,,8,당인,,1
1353,복구,,8,당분간,,1
1354,출고,,8,담번,,1
1355,백프로,,8,닭다리,,1
1356,레알,,8,달동,,1
1357,춥다,,8,단종,,1
1358,재품,,8,단어,,1
1359,재질감,,8,단감,,1
1360,가기,,8,더러,,1
1361,배신,,8,덜렁,,1
1362,검색,,8,동일,,1
1363,장가,,8,도저히,,1
1364,작살,,8,동물,,1
1365,종종,,8,돌리시,,1
1366,며칠,,8,돈좀,,1
1367,사쥬,,8,돈아까웡,,1
1368,저기,,8,돈더,,1
1369,최상,,8,돈값,,1
1370,스윁,,8,도해,,1
1371,굿임,,8,도크,,1
1372,그동안,,8,도입,,1
1373,요원,,8,덩어리,,1
1374,요일,,8,도복,,1
1375,오브,,8,도메,,1
1376,한참,,8,도로,,1
1377,부드러움,,8,도딱,,1
1378,하자,,8,도기,,1
1379,요코,,8,데체,,1
1380,로서,,8,데님,,1
1381,슬렉스,,8,데넘,,1
1382,슬슬,,8,로기,,1
1383,지지,,8,로비,,1
1384,빳빳하,,8,로켓,,1
1385,얼마나,,8,모스,,1
1386,핏인것,,8,무늬,,1
1387,마련,,8,값함,,1
1388,직감,,8,무광,,1
1389,핏나와,,8,못느꼇었는데,,1
1390,일로,,8,몸뻬,,1
1391,발꿈치,,8,몸뚱,,1
1392,더움,,8,목표,,1
1393,즌데,,8,모양새,,1
1394,리도,,8,몇몇,,1
1395,툼해,,8,무료,,1
1396,어우,,8,멸치,,1
1397,서도,,8,면조,,1
1398,신기,,8,면임,,1
1399,겨울나기,,8,면소,,1
1400,의심,,8,메탈,,1
1401,가운데,,8,메인,,1
1402,리스,,8,멍텅,,1
1403,이감,,8,멉니,,1
1404,놀람,,8,무니,,1
1405,진짜루,,8,무룶,,1
1406,생가,,8,롤업,,1
1407,어글리슈즈,,8,무진장,,1
1408,땀복,,8,물류,,1
1409,모내기,,8,문해,,1
1410,쫄라매,,8,묵고,,1
1411,안심,,8,무한,,1
1412,노란색,,8,무툭,,1
1413,시대,,8,무탼,,1
1414,면서,,8,무탠이,,1
1415,일찍,,8,무척,,1
1416,해당,,8,무족,,1
1417,세벌,,8,무룶밣샹,,1
1418,정리,,8,무적,,1
1419,고용,,8,무인양품,,1
1420,근래,,8,무심,,1
1421,삿으,,8,무서움,,1
1422,아연,,8,무릎팍도사,,1
1423,시도,,8,갑질,,1
1424,체크,,8,무르팍,,1
1425,크롭,,8,무뤂툭튀임,,1
1426,항아리,,8,멀티,,1
1427,반스,,8,먼저,,1
1428,도하,,8,먹음,,1
1429,지네,,8,마나,,1
1430,아시,,8,마이,,1
1431,가상,,8,마음껏,,1
1432,괜찬,,8,강추,,1
1433,높이,,8,마요네즈,,1
1434,상이,,8,마무리,,1
1435,핮니,,8,마름,,1
1436,러닝,,7,마련,,1
1437,수가,,7,마뚜루,,1
1438,손해,,7,립니,,1
1439,사은,,7,머드,,1
1440,베스,,7,린다,,1
1441,복용,,7,리진,,1
1442,바짝,,7,리스크,,1
1443,메이커,,7,리스,,1
1444,돟아,,7,리라,,1
1445,밀도,,7,리도,,1
1446,배달,,7,룬핏,,1
1447,대의,,7,루즈핏음핏,,1
1448,보드,,7,마일,,1
1449,세일,,7,마자,,1
1450,부위,,7,마지막,,1
1451,방한,,7,마찬가지,,1
1452,보유,,7,매칭,,1
1453,마치,,7,매무새,,1
1454,무시,,7,매력,,1
1455,마이,,7,매듭,,1
1456,불랙,,7,매도,,1
1457,무적,,7,망정,,1
1458,무드,,7,맛집,,1
1459,듭니다,,7,맘에듬,,1
1460,바깥,,7,말솜씨,,1
1461,대성공,,7,말로,,1
1462,뚜껍,,7,말락,,1
1463,벌이,,7,만하,,1
1464,상황,,7,만점,,1
1465,빡세,,7,만오천원,,1
1466,사보,,7,만들기,,1
1467,대가,,7,만가,,1
1468,반쪽,,7,마찰,,1
1469,레이,,7,단가,,1
1470,수록,,7,다행,,1
1471,온라인,,7,다정,,1
1472,핑갈,,7,굿임,,1
1473,이예,,7,근대,,1
1474,기숙사,,7,극복,,1
1475,이상인,,7,극단,,1
1476,깉아,,7,그레,,1
1477,유튜버,,7,그대,,1
1478,유독,,7,개체,,1
1479,위쪽,,7,궤무궙,,1
1480,감기,,7,궁뎅,,1
1481,욕구,,7,굿굿꿋,,1
1482,요긴,,7,글로벌,,1
1483,해지,,7,군복,,1
1484,완존,,7,구오,,1
1485,난리,,7,구성,,1
1486,입길,,7,구석,,1
1487,영상,,7,구산,,1
1488,각도,,7,구멍뚤렷,,1
1489,역쉬,,7,개취,,1
1490,헤이웨이트,,7,구림,,1
1491,형식,,7,글구,,1
1492,가죽,,7,글케,,1
1493,내일,,7,길음,,1
1494,여동생,,7,개애애객,,1
1495,네오프렌,,7,기회,,1
1496,녀석,,7,기한,,1
1497,어깨,,7,기하,,1
1498,야합,,7,기절,,1
1499,안함,,7,기적,,1
1500,근해,,7,기재,,1
1501,자리,,7,기숙사,,1
1502,아앙,,7,기성복,,1
1503,특징,,7,기만,,1
1504,퀄리,,7,금액,,1
1505,킹왕짱,,7,기럭지,,1
1506,타이트해,,7,긔모,,1
1507,충분,,7,긋읏그읏읏,,1
1508,초등,,7,급식,,1
1509,고통,,7,급수,,1
1510,쪼오끔,,7,급니,,1
1511,쪼리,,7,급감,,1
1512,쩔어요,,7,금요일,,1
1513,거부,,7,구리,,1
1514,관심,,7,구려,,1
1515,지연,,7,구런,,1
1516,지난,,7,겉감,,1
1517,파란색,,7,계시,,1
1518,작당,,7,계단,,1
1519,죠아,,7,결제,,1
1520,교차,,7,결정,,1
1521,조합,,7,겨울철,,1
1522,국룰,,7,게시,,1
1523,제거,,7,게살,,1
1524,수업,,7,게다가,,1
1525,펜츠,,7,것도,,1
1526,개조,,7,거가,,1
1527,개정,,7,걸이,,1
1528,전형,,7,걸렷네,,1
1529,저가,,7,걸레,,1
1530,장수,,7,건가,,1
1531,개굿,,7,거짓말,,1
1532,안정감,,7,거저,,1
1533,겉감,,7,거림,,1
1534,수정,,7,거린채,,1
1535,스판기,,7,계열,,1
1536,신장,,7,고고,,1
1537,십자,,7,고급,,1
1538,시해,,7,고요,,1
1539,수험생,,7,괸찮,,1
1540,수치,,7,괞찮아,,1
1541,가든,,7,괜찬항,,1
1542,희망,,7,괜찬,,1
1543,자크,,6,관심,,1
1544,스톤,,6,관리,,1
1545,아부지,,6,과제,,1
1546,근대,,6,과정,,1
1547,스포,,6,과실,,1
1548,글구,,6,곷먄,,1
1549,슬랙스같,,6,공휴일,,1
1550,만이,,6,공유,,1
1551,말모,,6,공간,,1
1552,장시간,,6,골덴,,1
1553,장바구니,,6,곤조,,1
1554,금은,,6,곤란,,1
1555,피팅,,6,고장,,1
1556,개꿀템,,6,길거리,,1
1557,보플,,6,길죽,,1
1558,쟁였어,,6,다이어트,,1
1559,스타킹,,6,노란색,,1
1560,매니아,,6,농후함,,1
1561,저런,,6,놀랏네,,1
1562,저리,,6,노하우,,1
1563,개요,,6,노원,,1
1564,편해욤,,6,노멀핏,,1
1565,일가,,6,노말,,1
1566,이주,,6,노른자,,1
1567,인분,,6,노랑,,1
1568,음청,,6,노놉,,1
1569,꿀템,,6,누런,,1
1570,요크,,6,녜뻐,,1
1571,용용,,6,년전,,1
1572,운전,,6,넥라인,,1
1573,마크,,6,네이버,,1
1574,웜톤,,6,네오프렌,,1
1575,시장,,6,네오,,1
1576,유니폼,,6,넣기,,1
1577,까만색,,6,넝마,,1
1578,빵댕,,6,높이,,1
1579,습니,,6,누런끼,,1
1580,막입,,6,까슬거려,,1
1581,한계,,6,다녓어,,1
1582,비킹,,6,다음주,,1
1583,돌리지,,6,다용,,1
1584,비슷,,6,다스,,1
1585,이뻐욤,,6,다사,,1
1586,기온,,6,다림질,,1
1587,다리핏,,6,개념,,1
