,긍정단어,실제 소비자평(긍정),긍정단어 수,부정단어,실제 소비자평(부정),부정단어 수
182,신축,0,224,감안,-1,13
183,사람,0,224,활동,0,13
184,멜란지,0,223,동네,0,13
185,원래,0,218,벌써,0,13
186,발등,0,216,살걸,-1,13
187,외출,0,216,편의점,0,12
188,나름,1,211,입다,0,12
189,주머니,0,210,아쉬움,-1,12
190,스몰,0,208,나머지,0,12
191,후회,-1,207,남자,0,12
192,추리,0,207,전혀,-1,12
193,사면,0,201,절대,-1,12
194,트레이닝복,0,201,모델,0,12
195,크기,0,200,트레이닝복,0,12
196,여기저기,1,199,안쪽,0,12
197,조이,0,198,컬러,0,12
198,교환,-1,198,외출,0,12
199,애용,1,197,남성,0,12
200,상의,0,194,잠깐,0,12
201,네이비,0,194,개인,0,12
202,일반,0,193,골반,0,12
203,사도,0,190,그거,0,12
204,보이,0,189,하비,0,12
205,계절,0,188,버핏,0,11
206,스웻팬츠,0,186,입지,0,11
207,엄마,0,185,그것,0,11
208,가장,1,185,에드,0,11
209,이상,-1,177,보임,0,11
210,이용,0,177,무탠다드,0,11
211,먼지,-1,176,선택,0,11
212,세미,0,174,이번,0,11
213,저번,0,171,사실,0,11
214,품절,1,170,널널,1,11
215,골반,0,169,스펙,0,11
216,거리,0,168,크기,0,11
217,인생,1,168,타이,0,11
218,촉감,0,166,용도,0,11
219,스펙,0,166,코디,0,11
220,기대,0,165,비닐,0,11
221,하비,0,161,기분,0,11
222,그거,0,161,흐물흐물,-1,11
223,짱짱,1,161,후드,0,11
224,주입,0,159,등산,0,11
225,사계절,1,158,런가,0,11
226,사려,0,158,오버,0,10
227,질감,0,157,선물,0,10
228,이정,0,156,심해,-1,10
229,신분,0,156,용이,1,10
230,오히려,0,156,날씨,0,10
231,벌써,0,155,바로,0,10
232,실용,1,152,질감,0,10
233,화면,0,152,무조건,1,10
234,대신,0,152,삿는데,0,10
235,무텐,0,152,옷감,0,10
236,남자친구,0,151,최악,-1,10
237,여자친구,0,151,기대,0,10
238,쫀쫀,1,150,기도,0,10
239,매치,0,149,주름,0,10
240,라인,0,149,나팔,0,10
241,기분,0,148,드네,0,10
242,해도,0,147,자꾸,0,10
243,아들,0,146,부각,-1,10
244,부담,0,146,아예,0,10
245,일부러,0,145,일자핏,0,10
246,아래,0,145,아래,0,10
247,이제,0,144,후회,-1,10
248,선택,0,143,그닥,-1,10
249,타이,0,142,작고,-1,9
250,나중,0,142,수축,0,9
251,흰색,0,142,나일론,0,9
252,가지,0,140,스웻,0,9
253,뭔가,-1,138,자마자,0,9
254,활용,0,135,보기,0,9
255,내내,1,135,확정,0,9
256,바스락,-1,134,만원,0,9
257,살이,0,134,만해,0,9
258,기도,0,133,고정,0,9
259,비도,0,131,검은색,0,9
260,잠옷,0,130,오른쪽,0,9
261,삿는데,0,129,편입,0,9
262,맘에듭니,1,129,의사,0,9
263,은근,0,127,예상,0,9
264,좀더,0,127,물건,0,9
265,밴드,0,126,그게,0,9
266,면도,0,125,흰색,0,9
267,산책,1,125,줄줄,-1,9
268,잠깐,0,124,불편,-1,9
269,슬랙스,0,124,사도,0,9
270,할인,0,123,제일,0,9
271,에드,0,123,일부러,0,9
272,평상시,1,123,문의,-1,8
273,어머니,0,121,모두,0,8
274,남성,0,121,소리,0,8
275,대박,1,121,발등,0,8
276,옷감,0,120,가랑이,0,8
277,나머지,0,120,마감,0,8
278,개인,0,119,필수,0,8
279,문제,0,119,복숭아,0,8
280,기네,0,118,성은,0,8
281,독서실,0,114,수준,0,8
282,종아리,0,114,초겨울,0,8
283,초겨울,0,114,슬랙스,0,8
284,적당,1,114,아빠,0,8
285,안감,0,113,신경,-1,8
286,의향,1,112,후리,0,8
287,버전,0,111,실패,-1,8
288,핏입니,0,110,엑스,0,8
289,제외,0,108,이제,0,8
290,슬림,0,108,한철,-1,8
291,편입,0,107,싼마이,-1,8
292,요가,0,107,항상,1,8
293,화이트,0,107,한텐,0,8
294,마뚜루,1,106,인지,0,7
295,라운지,0,106,이면,0,7
296,몸무게,0,106,왼쪽,0,7
297,신경,0,105,친구,0,7
298,공부,0,104,저번,0,7
299,단점,0,104,바람,0,7
300,바닥,0,104,비만,0,7
301,가능,0,104,여성,0,7
302,아무,0,104,사려,0,7
303,감안,0,104,전부,0,7
304,집업,0,103,기능,0,7
305,바람,0,101,살이,0,7
306,투맨,0,101,선집,0,7
307,필수,0,100,단점,0,7
308,아이보리,0,99,디테,0,7
309,지퍼,0,99,무크,0,7
310,찰떡,1,99,일주일,0,7
311,커버,0,98,상의,0,7
312,먼저,0,98,한쪽,0,7
313,만원,0,97,택배,0,7
314,몇번,0,97,나중,0,7
315,예상,0,96,아이템,0,7
316,스타,0,96,작업복,0,7
317,전부,0,96,내복,-1,7
318,다행,1,95,무리,0,7
319,다크,0,95,피시방,0,7
320,알바,0,94,무엇,0,7
321,용도,0,94,매치,0,7
322,추리닝,0,94,스웻팬츠,0,7
323,심플,1,94,우먼,0,6
324,운동화,0,93,실제,0,6
325,휘뚜루,1,93,네이비,0,6
326,일자핏,0,92,한단,0,6
327,벨트,0,92,시간,0,6
328,거나,0,91,모양,0,6
329,전혀,0,90,성비,0,6
330,아빠,0,90,체육복,0,6
331,와이프,0,89,이하,0,6
332,낙하,0,89,제발,-1,6
333,차이,0,89,세미,0,6
334,엑스,0,89,천이,0,6
335,수축,0,89,불구,0,6
336,안나,0,89,두운,0,6
337,장만,0,88,패션,0,6
338,여성,0,88,산책,0,6
339,당황,-1,87,살껄,-1,6
340,모든,0,87,중간,0,6
341,이유,0,87,체격,0,6
342,금방,0,87,남아,0,6
343,무거워,-1,87,부츠,0,6
344,지도,0,87,실수,0,6
345,두루,1,87,출고,0,6
346,주름,0,86,남친,0,6
347,대로,0,86,유니클로,0,6
348,안해,0,85,경우,0,6
349,아이,0,84,촉감,0,6
350,한텐,0,84,재봉,0,6
351,사용,0,83,나이키,0,6
352,성도,0,83,차라리,-1,6
353,미스,0,83,안감,0,6
354,여기,0,83,장난,0,6
355,중이,0,82,오트밀,0,6
356,사시,1,82,일반,0,6
357,수도,0,82,할인,0,6
358,거만,0,82,비교,0,6
359,미디움,0,81,짝짝이,-1,6
360,소리,0,81,실물,0,6
361,살걸,-1,80,배꼽,0,6
362,비교,0,80,활용,0,6
363,이만,0,79,쿠폰,0,6
364,사실,0,78,지퍼,0,6
365,스트링,0,78,가면,0,6
366,만큼,0,78,사시,0,6
367,달라,-1,76,애매,-1,5
368,안쪽,0,76,총장,0,5
369,학교,0,75,양쪽,0,5
370,간절,0,75,운동화,0,5
371,무리,-1,75,안나,0,5
372,필요,0,75,두툼,1,5
373,몇개,0,74,건데,0,5
374,대충,0,74,투맨,0,5
375,작년,0,74,굳이,0,5
376,처리,0,73,위도,0,5
377,언제,0,73,이용,0,5
378,우먼,0,72,유틸리티,0,5
379,대요,0,72,마트,0,5
380,만해,0,72,고무,0,5
381,히트,0,72,미디움,0,5
382,핏이,0,72,리츠,0,5
383,이면,0,72,밑통,0,5
384,신체,0,70,바닥,0,5
385,운동복,0,70,짱짱,1,5
386,후리,0,70,곱창,0,5
387,베이지,0,70,무슨,0,5
388,하의,0,69,라면,0,5
389,실물,0,69,구멍,-1,5
390,크림,0,69,베이직,0,5
391,정핏,0,69,벨트,0,5
392,비갑,0,68,추리닝,0,5
393,입문,1,68,처리,0,5
394,절대,-1,67,에스,0,5
395,요새,0,67,요기,0,5
396,입지,0,67,보온,0,5
397,부각,-1,67,보이,0,5
398,그것,0,66,최대한,0,5
399,전반,0,66,엄마,0,5
400,에스,0,66,검수,0,5
401,감사,1,66,얼마,0,5
402,사랑,1,66,중이,0,5
403,모델,0,66,화장실,0,5
404,바지라,0,65,테크,0,5
405,라이트,0,65,거도,0,5
406,상태,0,64,세번,0,5
407,쭈리,0,64,싼값,-1,5
408,잘못,-1,64,스타,0,5
409,득템,1,64,다크,0,5
410,두운,0,63,일이,0,5
411,편의점,0,63,냄새,-1,5
412,하루,0,62,남편,0,5
413,위아래,0,62,스트레이트,0,5
414,홈웨어,0,62,대신,0,5
415,찾기,0,62,사지,0,5
416,신고,0,62,하하,1,5
417,보온,0,61,센치,0,5
418,합리,1,61,가지,0,5
419,내복,-1,61,적당,1,5
420,이구,0,61,셋업,0,5
421,세번,0,61,특성,0,5
422,보기,0,60,공부,0,4
423,일링,0,60,시즌,0,4
424,워낙,0,60,전반,0,4
425,보이지,0,60,꽉끈,0,4
426,루즈핏,0,60,장점,0,4
427,매번,1,60,실루엣,0,4
428,하니,0,60,싸구려,-1,4
429,나이키,0,59,여기,0,4
430,핏도좋,1,59,싸이,0,4
431,예전,0,59,필요,0,4
432,요기,0,59,거나,0,4
433,다가,0,59,핏되,0,4
434,용이,1,59,꼬툭튀,0,4
435,가면,0,58,다소,0,4
436,쿠폰,0,58,요요,0,4
437,초여름,0,58,세탁기,0,4
438,베이직,0,58,커버,0,4
439,미듐,0,58,신발,0,4
440,남아,0,58,슈퍼,0,4
441,저스트,0,58,스님,0,4
442,데일,0,58,트랙,0,4
443,복숭아,0,58,교체,0,4
444,정석,1,57,세상,0,4
445,남편,0,57,세트,0,4
446,겨울철,0,57,고해,0,4
447,아유,0,56,막상,0,4
448,비만,0,56,여자친구,0,4
449,우선,0,56,화이트,0,4
450,학원,0,56,타이트,0,4
451,실망,-1,56,라이트,0,4
452,자꾸,-1,55,요새,0,4
453,사기,1,55,계절,0,4
454,출근,0,55,생기,0,4
455,번창,1,55,굿굿,1,4
456,동안,0,54,네마,0,4
457,한단,0,54,이틀,0,4
458,이신,0,54,제대로,0,4
459,라면,0,54,가요,0,4
460,어차피,0,54,대요,0,4
461,근처,0,54,제로,0,4
462,성용,0,53,스판,0,4
463,하하,1,53,동생,0,4
464,총장,0,53,블루,0,4
465,나일론,0,53,일링,0,4
466,싸이,0,53,기간,0,4
467,빳빳,0,53,슬림하,0,4
468,쪼금,-1,53,자연,0,4
469,낭낭,1,53,인터넷,0,4
470,개꿀,1,53,사과,0,4
471,기존,0,52,체크,0,4
472,리뷰,0,52,항아리,0,4
473,웨어,0,52,가운데,0,4
474,힙하,1,52,빳빳,0,4
475,카키색,0,51,며칠,0,4
476,가시,0,51,가장,0,4
477,빨래,0,51,두번째,0,4
478,강력,0,51,인치,0,4
479,가세,0,51,본인,0,4
480,본인,0,51,근처,0,4
481,전투복,1,51,탄력,0,4
482,둘레,0,50,스키,0,4
483,편안함,1,50,부담,0,4
484,예술,1,50,위로,0,4
485,레깅스,0,50,상태,0,4
486,려고,0,50,미디엄,0,4
487,등산,0,50,넓이,0,4
488,기간,0,50,갈수록,-1,4
489,체격,0,49,무릅,0,3
490,변형,0,49,워낙,0,3
491,아버지,0,49,옷장,0,3
492,무지,0,49,옷핏,0,3
493,미디엄,0,49,요통,0,3
494,고무,0,49,실내,0,3
495,물건,0,49,요하,0,3
496,삿어,0,49,요키,0,3
497,유행,0,49,면도,0,3
498,곱창,0,49,와이프,0,3
499,다소,-1,49,저가,0,3
500,듭니당,1,48,음가,0,3
501,는걸,0,48,자기,0,3
502,일주일,0,48,은근,0,3
503,따숩,1,48,차콜,0,3
504,세용,0,48,우선,0,3
505,아영,0,48,청바지,0,3
506,상복,0,48,가야,0,3
507,굳이,-1,48,무텐,0,3
508,여러,0,47,작업,0,3
509,슬림하,1,47,순면,0,3
510,가요,0,47,참조,0,3
511,아쉬움,-1,47,유독,-1,3
512,일해,0,47,무거,-1,3
513,특성,0,46,자국,-1,3
514,바지핏,0,46,무지,0,3
515,은색,0,46,입자,0,3
516,최애,1,46,신고,0,3
517,핏좋,1,45,작년,0,3
518,오늘,0,45,사가,0,3
519,수준,0,45,수도,0,3
520,입구,0,45,분도,0,3
521,차콜,0,45,가타,0,3
522,주얼,0,45,쓰기,0,3
523,여러분,0,45,언니,0,3
524,고려,0,45,어찌,-1,3
525,도서관,0,45,아들,0,3
